,PRCP,TMIN,TMAX
2024-05-27,0.3,16.7,27.2
2024-05-28,9.7,14.4,27.2
2024-05-29,0.0,13.9,25.0
2024-05-30,0.0,15.0,26.7
2024-05-31,0.0,16.1,25.6
2024-06-01,,18.3,25.6
2024-06-02,0.0,16.7,28.9
2024-06-03,0.0,20.0,29.4
2024-06-04,0.5,20.0,28.3
2024-06-05,24.6,18.9,
2024-06-06,0.0,,28.3
2024-06-07,0.0,13.3,31.7
2024-06-08,15.7,18.9,30.6
2024-06-09,1.0,16.1,27.2
2024-06-10,0.3,14.4,25.6
2024-06-11,,13.9,27.8
2024-06-12,0.0,18.3,31.1
2024-06-13,0.0,20.6,33.3
2024-06-14,3.6,20.6,31.7
2024-06-15,0.0,18.3,32.2
2024-06-16,0.0,24.4,33.9
2024-06-17,0.0,24.4,34.4
2024-06-18,0.0,22.8,32.8
2024-06-19,0.0,22.2,32.2
2024-06-20,0.0,,
2024-06-21,0.0,22.2,32.8
2024-06-22,0.0,23.3,33.3
2024-06-23,0.0,23.3,33.3
2024-06-24,0.0,20.6,36.7
2024-06-25,0.0,21.1,36.7
2024-06-26,58.4,19.4,30.0
2024-06-27,1.3,18.9,31.1
2024-06-28,0.0,22.2,29.4
2024-06-29,1.0,22.2,32.8
2024-06-30,10.7,19.4,26.1
2024-07-01,0.0,16.7,23.9
2024-07-02,0.0,20.0,33.9
2024-07-03,118.9,21.1,29.4
2024-07-04,47.8,20.0,
2024-07-05,5.8,20.0,27.2
2024-07-06,0.0,18.3,
2024-07-07,0.0,18.9,30.6
2024-07-08,33.8,18.3,30.0
2024-07-09,0.0,18.9,22.8
2024-07-10,21.1,18.9,30.6
2024-07-11,0.0,18.3,30.0
2024-07-12,0.0,21.7,31.1
2024-07-13,0.8,23.3,30.6
2024-07-14,0.5,23.9,33.3
2024-07-15,0.0,25.0,34.4
2024-07-16,0.0,21.7,29.4
2024-07-17,3.8,20.0,29.4
2024-07-18,0.0,16.1,
2024-07-19,0.0,15.6,27.2
2024-07-20,0.0,16.1,25.6
2024-07-21,0.0,17.2,26.7
2024-07-22,0.0,,28.3
2024-07-23,0.0,18.3,30.6
2024-07-24,0.0,18.3,31.7
2024-07-25,0.0,20.6,32.8
2024-07-26,0.0,22.2,31.7
2024-07-27,0.0,21.1,28.3
2024-07-28,0.3,,31.1
2024-07-29,4.6,23.9,34.4
2024-07-30,0.5,25.0,34.4
2024-07-31,0.0,25.0,35.0
2024-08-01,6.1,,32.8
2024-08-02,0.0,22.2,31.7
2024-08-03,0.0,20.0,33.3
2024-08-04,0.0,21.7,35.0
2024-08-05,0.0,23.3,35.0
2024-08-06,0.0,19.4,29.4
2024-08-07,0.0,18.9,26.7
2024-08-08,0.0,17.8,26.7
2024-08-09,0.0,15.6,25.0
2024-08-10,0.0,13.3,26.1
2024-08-11,0.0,17.2,27.2
2024-08-12,0.0,19.4,22.2
2024-08-13,17.3,19.4,24.4
2024-08-14,0.0,21.1,28.3
2024-08-15,37.8,22.8,32.2
2024-08-16,1.0,22.2,33.9
2024-08-17,0.0,21.1,31.1
2024-08-18,0.0,20.0,29.4
2024-08-19,0.0,18.9,28.9
2024-08-20,0.0,16.1,26.1
2024-08-21,0.0,15.6,24.4
2024-08-22,0.0,12.2,25.6
2024-08-23,0.0,13.3,29.4
2024-08-24,0.0,21.1,27.2
2024-08-25,11.7,21.1,33.9
2024-08-26,0.0,23.3,36.7
2024-08-27,0.0,24.4,36.7
2024-08-28,0.0,22.2,32.2
2024-08-29,1.8,22.2,35.0
2024-08-30,0.0,22.8,33.9
2024-08-31,0.5,19.4,30.0
2024-09-01,0.0,15.6,31.1
2024-09-02,0.0,13.9,26.1
2024-09-03,0.0,13.9,25.0
2024-09-04,0.0,12.2,29.4
2024-09-05,0.0,15.6,33.3
2024-09-06,0.5,14.4,26.1
2024-09-07,0.0,10.0,22.8
2024-09-08,0.0,6.7,22.8
2024-09-09,0.0,8.9,27.8
2024-09-10,0.0,10.0,28.3
2024-09-11,0.0,15.0,
2024-09-12,0.0,17.8,30.6
2024-09-13,0.0,18.3,22.8
2024-09-14,0.5,19.4,30.6
2024-09-15,0.0,18.9,31.1
2024-09-16,0.0,20.6,30.6
2024-09-17,2.5,17.2,31.7
2024-09-18,0.0,18.3,31.7
2024-09-19,0.0,18.9,33.3
2024-09-20,0.0,22.2,34.4
2024-09-21,0.0,21.7,
2024-09-22,46.5,16.7,25.6
2024-09-23,8.6,16.1,20.0
2024-09-24,27.2,15.0,21.7
2024-09-25,0.3,13.3,25.6
2024-09-26,0.0,12.8,26.1
2024-09-27,0.0,16.1,21.1
2024-09-28,0.0,16.7,25.6
2024-09-29,0.0,16.1,27.2
2024-09-30,0.0,16.1,
2024-10-01,0.0,9.4,22.2
2024-10-02,0.0,6.7,23.3
2024-10-03,0.0,13.3,30.6
2024-10-04,0.0,15.6,28.3
2024-10-05,0.0,16.7,31.7
2024-10-06,0.0,13.3,26.1
2024-10-07,,8.3,22.2
2024-10-08,0.0,6.1,23.3
2024-10-09,0.0,7.8,25.6
2024-10-10,0.0,9.4,26.7
2024-10-11,0.0,12.2,30.0
2024-10-12,0.0,,32.2
2024-10-13,0.0,10.6,22.2
2024-10-14,0.0,6.1,16.1
2024-10-15,0.0,5.6,13.9
2024-10-16,0.0,0.0,16.7
2024-10-17,0.0,3.3,20.6
2024-10-18,0.0,,22.2
2024-10-19,0.0,6.1,
2024-10-20,0.0,7.2,26.7
2024-10-21,,10.0,27.2
2024-10-22,0.0,15.0,30.0
2024-10-23,0.0,9.4,21.1
2024-10-24,0.0,7.2,23.9
2024-10-25,5.6,9.4,21.1
2024-10-26,0.0,,17.2
2024-10-27,0.0,,21.1
2024-10-28,0.0,11.7,28.9
2024-10-29,0.0,20.0,27.8
2024-10-30,0.0,,
2024-10-31,34.3,6.1,16.7
2024-11-01,0.0,2.8,17.2
2024-11-02,0.0,6.7,20.0
2024-11-03,6.4,12.8,20.6
2024-11-04,25.4,,
2024-11-05,29.7,,
