"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SN31","SN31_ATTRIBUTES","SN32","SN32_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","SX31","SX31_ATTRIBUTES","SX32","SX32_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES"
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-11","0.00",",,7,0700","34",",,7","35",",,7","0.0",",,7,0700","2.0",",,7,0700","36",",,7","36",",,7","40",",,7","30",",,7","40",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-12","0.02",",,7,0700","34",",,7","35",",,7","0.0",",,7,0700","0.0",",,7,0700","36",",,7","37",",,7","40",",,7","11",",,7","12",",,7,",,,"    1",",,7",,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-13","0.03",",,7,0700","33",",,7","34",",,7","0.2",",,7,0700","0.0","T,,7,0700","34",",,7","35",",,7","12",",,7","-5",",,7","-5",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-14","0.02",",,7,0700","30",",,7","32",",,7","0.2",",,7,0700","0.0","T,,7,0700","33",",,7","34",",,7","-3",",,7","-11",",,7","-5",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-15","0.00",",,7,0700","28",",,7","31",",,7","0.0",",,7,0700","0.0","T,,7,0700","30",",,7","32",",,7","4",",,7","-9",",,7","2",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-16","0.04",",,7,0700","29",",,7","30",",,7","1.0",",,7,0700","1.0",",,7,0700","30",",,7","31",",,7","11",",,7","-5",",,7","8",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-17","0.00",",,7,0700","29",",,7","30",",,7","0.0",",,7,0700","1.0",",,7,0700","31",",,7","31",",,7","38",",,7","8",",,7","32",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-18","0.00",",,7,0700","31",",,7","31",",,7","0.0",",,7,0700","0.0","T,,7,0700","32",",,7","32",",,7","39",",,7","20",",,7","20",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-19","0.02",",,7,0700","29",",,7","31",",,7","0.4",",,7,0700","0.0","T,,7,0700","32",",,7","32",",,7","20",",,7","3",",,7","3",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-20","0.00",",,7,0700","27",",,7","30",",,7","0.0",",,7,0700","0.0","T,,7,0700","30",",,7","31",",,7","15",",,7","-3",",,7","6",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-21","0.00",",,7,0700","27",",,7","29",",,7","0.0",",,7,0700","0.0","T,,7,0700","31",",,7","31",",,7","33",",,7","6",",,7","31",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-22","0.16",",,7,0700","31",",,7","31",",,7","0.1",",,7,0700","0.0","T,,7,0700","32",",,7","32",",,7","36",",,7","28",",,7","34",",,7,",,,,,,,,,"    1",",,7"
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-23","0.61",",,7,0700","32",",,7","32",",,7","0.0",",,7,0700","0.0",",,7,0700","32",",,7","32",",,7","41",",,7","34",",,7","38",",,7,",,,"    1",",,7",,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-24","0.33",",,7,0700","32",",,7","32",",,7","0.0",",,7,0700","0.0",",,7,0700","32",",,7","32",",,7","44",",,7","36",",,7","38",",,7,",,,"    1",",,7",,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-25","0.01",",,7,0700","32",",,7","32",",,7","0.0",",,7,0700","0.0",",,7,0700","34",",,7","32",",,7","41",",,7","36",",,7","37",",,7,",,,"    1",",,7",,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-26","0.42",",,7,0700","33",",,7","32",",,7","0.0",",,7,0700","0.0",",,7,0700","36",",,7","35",",,7","40",",,7","35",",,7","35",",,7,",,,"    1",",,7",,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-27","0.00","T,,7,0700","33",",,7","34",",,7","0.0",",,7,0700","0.0",",,7,0700","37",",,7","36",",,7","39",",,7","34",",,7","36",",,7,",,,"    1",",,7",,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-28","0.02",",,7,0700","34",",,7","34",",,7","0.0",",,7,0700","0.0",",,7,0700","37",",,7","37",",,7","37",",,7","28",",,7","28",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-29","0.00",",,7,0700","33",",,7","34",",,7","0.0",",,7,0700","0.0",",,7,0700","41",",,7","37",",,7","58",",,7","23",",,7","46",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-30","0.00",",,7,0700","35",",,7","36",",,7","0.0",",,7,0700","0.0",",,7,0700","44",",,7","41",",,7","47",",,7","37",",,7","39",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-01-31","0.00",",,7,0700","34",",,7","35",",,7","0.0",",,7,0700","0.0",",,7,0700","45",",,7","41",",,7","55",",,7","28",",,7","48",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-01","0.00",",,7,0700","36",",,7","37",",,7","0.0",",,7,0700","0.0",",,7,0700","50",",,7","46",",,7","68",",,7","40",",,7","53",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-02","0.00",",,7,0700","42",",,7","42",",,7","0.0",",,7,0700","0.0",",,7,0700","51",",,7","47",",,7","53",",,7","41",",,7","42",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-03","0.00",",,7,0700","42",",,7","42",",,7","0.0",",,7,0700","0.0",",,7,0700","50",",,7","47",",,7","61",",,7","39",",,7","45",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-04","0.00",",,7,0700","40",",,7","42",",,7","0.0",",,7,0700","0.0",",,7,0700","47",",,7","45",",,7","51",",,7","37",",,7","40",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-05","0.00",",,7,0700","36",",,7","38",",,7","0.0",",,7,0700","0.0",",,7,0700","48",",,7","45",",,7","56",",,7","33",",,7","33",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-06","0.00",",,7,0700","35",",,7","37",",,7","0.0",",,7,0700","0.0",",,7,0700","49",",,7","45",",,7","58",",,7","25",",,7","45",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-07","0.00",",,7,0700","38",",,7","39",",,7","0.0",",,7,0700","0.0",",,7,0700","49",",,7","46",",,7","63",",,7","40",",,7","52",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-08","0.00",",,7,0700","42",",,7","42",",,7","0.0",",,7,0700","0.0",",,7,0700","54",",,7","50",",,7","71",",,7","49",",,7","53",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-09","0.00",",,7,0700","40",",,7","41",",,7","0.0",",,7,0700","0.0",",,7,0700","53",",,7","49",",,7","66",",,7","40",",,7","45",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-10","0.00",",,7,0700","38",",,7","40",",,7","0.0",",,7,0700","0.0",",,7,0700","47",",,7","46",",,7","45",",,7","34",",,7","34",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-11","0.00",",,7,0700","36",",,7","38",",,7","0.0",",,7,0700","0.0",",,7,0700","43",",,7","43",",,7","42",",,7","29",",,7","35",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-12","0.00",",,7,0700","36",",,7","38",",,7","0.0",",,7,0700","0.0",",,7,0700","46",",,7","43",",,7","50",",,7","32",",,7","37",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-13","0.00",",,7,0700","35",",,7","37",",,7","0.0",",,7,0700","0.0",",,7,0700","49",",,7","45",",,7","61",",,7","27",",,7","45",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-14","0.00",",,7,0700","36",",,7","38",",,7","0.0",",,7,0700","0.0",",,7,0700","52",",,7","47",",,7","63",",,7","32",",,7","54",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-15","0.00","T,,7,0700","41",",,7","42",",,7","0.0",",,7,0700","0.0",",,7,0700","51",",,7","48",",,7","54",",,7","39",",,7","39",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-16","0.02",",,7,0700","36",",,7","38",",,7","0.0","T,,7,0700","0.0","T,,7,0700","41",",,7","42",",,7","39",",,7","24",",,7","24",",,7,",,,,,,,"    1",",,7",,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-17","0.17",",,7,0700","35",",,7","37",",,7","2.0",",,7,0700","2.0",",,7,0700","39",",,7","38",",,7","27",",,7","13",",,7","26",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-18","0.00",",,7,0700","34",",,7","36",",,7","0.0",",,7,0700","0.0",",,7,0700","44",",,7","40",",,7","50",",,7","25",",,7","30",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-19","0.00",",,7,0700","34",",,7","35",",,7","0.0",",,7,0700","0.0",",,7,0700","49",",,7","43",",,7","57",",,7","24",",,7","35",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-20","0.00",",,7,0700","35",",,7","36",",,7","0.0",",,7,0700","0.0",",,7,0700","53",",,7","47",",,7","65",",,7","34",",,7","50",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-21","0.00",",,7,0700","38",",,7","39",",,7","0.0",",,7,0700","0.0",",,7,0700","55",",,7","50",",,7","71",",,7","43",",,7","56",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-22","0.00",",,7,0700","45",",,7","45",",,7","0.0",",,7,0700","0.0",",,7,0700","56",",,7","52",",,7","67",",,7","47",",,7","50",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-23","0.00",",,7,0700","40",",,7","42",",,7","0.0",",,7,0700","0.0",",,7,0700","54",",,7","50",",,7","63",",,7","39",",,7","46",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-24","0.00",",,7,0700","38",",,7","40",",,7","0.0",",,7,0700","0.0",",,7,0700","54",",,7","48",",,7","51",",,7","32",",,7","47",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-25","0.00",",,7,0700","39",",,7","41",",,7","0.0",",,7,0700","0.0",",,7,0700","59",",,7","53",",,7","73",",,7","43",",,7","54",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-26","0.00",",,7,0700","41",",,7","43",",,7","0.0",",,7,0700","0.0",",,7,0700","61",",,7","55",",,7","79",",,7","39",",,7","63",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-27","0.00",",,7,0700","48",",,7","50",",,7","0.0",",,7,0700","0.0",",,7,0700","63",",,7","58",",,7","79",",,7","31",",,7","31",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-28","0.03",",,7,0700","38",",,7","40",",,7","0.0","T,,7,0700","0.0",",,7,0700","51",",,7","50",",,7","36",",,7","19",",,7","25",",,7,",,,,,"    1",",,7","    1",",,7",,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-02-29","0.00",",,7,0700","35",",,7","37",",,7","0.0",",,7,0700","0.0",",,7,0700","53",",,7","47",",,7","54",",,7","23",",,7","41",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-01","0.00","T,,7,0700","41",",,7","42",",,7","0.0",",,7,0700","0.0",",,7,0700","52",",,7","49",",,7","50",",,7","35",",,7","41",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-02","0.00","T,,7,0700","39",",,7","41",",,7","0.0","T,,7,0700","0.0",",,7,0700","58",",,7","52",",,7","69",",,7","36",",,7","56",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-03","0.00",",,7,0700","47",",,7","48",",,7","0.0",",,7,0700","0.0",",,7,0700","64",",,7","58",",,7","82",",,7","54",",,7","66",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-04","0.00",",,7,0700","52",",,7","52",",,7","0.0",",,7,0700","0.0",",,7,0700","64",",,7","60",",,7","79",",,7","49",",,7","49",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-05","0.02",",,7,0700","49",",,7","50",",,7","0.0",",,7,0700","0.0",",,7,0700","56",",,7","56",",,7","50",",,7","44",",,7","47",",,7,",,,,,"    1",",,7",,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-06","0.00","T,,7,0700","43",",,7","46",",,7","0.0",",,7,0700","0.0",",,7,0700","59",",,7","54",",,7","61",",,7","37",",,7","44",",,7,",,,"    1",",,7",,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-07","0.00","T,,7,0700","46",",,7","47",",,7","0.0",",,7,0700","0.0",",,7,0700","52",",,7","51",",,7","54",",,7","41",",,7","53",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-08","0.61",",,7,0700","46",",,7","47",",,7","0.0",",,7,0700","0.0",",,7,0700","52",",,7","52",",,7","53",",,7","39",",,7","39",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-09","0.00","T,,7,0700","41",",,7","43",",,7","0.0",",,7,0700","0.0",",,7,0700","55",",,7","51",",,7","51",",,7","31",",,7","39",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-10","0.00",",,7,0700","38",",,7","41",",,7","0.0",",,7,0700","0.0",",,7,0700","57",",,7","52",",,7","57",",,7","29",",,7","45",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-11","0.00",",,7,0700","40",",,7","42",",,7","0.0",",,7,0700","0.0",",,7,0700","59",",,7","54",",,7","69",",,7","41",",,7","56",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-12","0.00",",,7,0700","45",",,7","46",",,7","0.0",",,7,0700","0.0",",,7,0700","62",",,7","57",",,7","75",",,7","48",",,7","54",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-13","0.52",",,7,0700","50",",,7","51",",,7","0.0",",,7,0700","0.0",",,7,0700","67",",,7","62",",,7","75",",,7","52",",,7","67",",,7,",,,,,"    1",",,7",,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-14","0.70",",,7,0700","55",",,7","55",",,7","0.0",",,7,0700","0.0",",,7,0700","67",",,7","63",",,7","76",",,7","49",",,7","50",",,7,",,,,,"    1",",,7",,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-15","0.06",",,7,0700","50",",,7","52",",,7","0.0",",,7,0700","0.0",",,7,0700","62",",,7","58",",,7","62",",,7","44",",,7","48",",,7,",,,,,"    1",",,7",,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-16","0.00",",,7,0700","48",",,7","49",",,7","0.0",",,7,0700","0.0",",,7,0700","60",",,7","57",",,7","65",",,7","43",",,7","48",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-17","0.00",",,7,0700","42",",,7","45",",,7","0.0",",,7,0700","0.0",",,7,0700","56",",,7","53",",,7","50",",,7","31",",,7","32",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-18","0.00",",,7,0700","39",",,7","41",",,7","0.0",",,7,0700","0.0",",,7,0700","52",",,7","49",",,7","37",",,7","25",",,7","30",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-19","0.00",",,7,0700","38",",,7","40",",,7","0.0",",,7,0700","0.0",",,7,0700","56",",,7","52",",,7","66",",,7","28",",,7","45",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-20","0.00",",,7,0700","42",",,7","44",",,7","0.0",",,7,0700","0.0",",,7,0700","55",",,7","51",",,7","55",",,7","38",",,7","38",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-21","0.00",",,7,0700","40",",,7","42",",,7","0.0",",,7,0700","0.0",",,7,0700","54",",,7","50",",,7","58",",,7","34",",,7","46",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-22","0.00",",,7,0700","43",",,7","44",",,7","0.0",",,7,0700","0.0",",,7,0700","56",",,7","53",",,7","64",",,7","36",",,7","36",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-23","0.00","T,,7,0700","43",",,7","44",",,7","0.0",",,7,0700","0.0",",,7,0700","54",",,7","51",",,7","50",",,7","33",",,7","44",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-24","0.00",",,7,0700","44",",,7","45",",,7","0.0",",,7,0700","0.0",",,7,0700","54",",,7","52",",,7","66",",,7","41",",,7","53",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-25","0.17",",,7,0700","49",",,7","49",",,7","0.0",",,7,0700","0.0",",,7,0700","53",",,7","52",",,7","59",",,7","48",",,7","50",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-26","1.06",",,7,0700","43",",,7","44",",,7","0.0",",,7,0700","0.0",",,7,0700","50",",,7","50",",,7","51",",,7","35",",,7","35",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-27","0.00","T,,7,0700","38",",,7","41",",,7","0.0",",,7,0700","0.0",",,7,0700","58",",,7","52",",,7","50",",,7","28",",,7","35",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-28","0.00",",,7,0700","40",",,7","42",",,7","0.0",",,7,0700","0.0",",,7,0700","61",",,7","55",",,7","65",",,7","35",",,7","48",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-29","0.00",",,7,0700","44",",,7","46",",,7","0.0",",,7,0700","0.0",",,7,0700","64",",,7","58",",,7","76",",,7","46",",,7","67",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-30","0.00",",,7,0700","53",",,7","53",",,7","0.0",",,7,0700","0.0",",,7,0700","68",",,7","62",",,7","72",",,7","58",",,7","59",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-03-31","0.00",",,7,0700","53",",,7","54",",,7","0.0",",,7,0700","0.0",",,7,0700","65",",,7","62",",,7","80",",,7","55",",,7","69",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-04-01","0.00","T,,7,0700","57",",,7","57",",,7","0.0",",,7,0700","0.0",",,7,0700","61",",,7","60",",,7","71",",,7","56",",,7","60",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-04-02","0.93",",,7,0700","50",",,7","52",",,7","0.0",",,7,0700","0.0",",,7,0700","59",",,7","59",",,7","61",",,7","41",",,7","41",",,7,",,,,,"    1",",,7",,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-04-03","0.16",",,7,0700","47",",,7","49",",,7","0.0",",,7,0700","0.0",",,7,0700","52",",,7","52",",,7","53",",,7","37",",,7","44",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-04-04","0.03",",,7,0700","44",",,7","46",",,7","0.0",",,7,0700","0.0",",,7,0700","57",",,7","54",",,7","53",",,7","37",",,7","39",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-04-05","0.00",",,7,0700","43",",,7","45",",,7","0.0",",,7,0700","0.0",",,7,0700","60",",,7","55",",,7","57",",,7","32",",,7","43",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-04-06","0.00",",,7,0700","45",",,7","47",",,7","0.0",",,7,0700","0.0",",,7,0700","58",",,7","55",",,7","64",",,7","40",",,7","56",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-04-07","0.08",",,7,0700","50",",,7","51",",,7","0.0",",,7,0700","0.0",",,7,0700","65",",,7","60",",,7","72",",,7","50",",,7","59",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-04-08","0.00",",,7,0700","50",",,7","51",",,7","0.0",",,7,0700","0.0",",,7,0700","66",",,7","60",",,7","79",",,7","51",",,7","60",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-04-09","0.00",",,7,0700","52",",,7","53",",,7","0.0",",,7,0700","0.0",",,7,0700","66",",,7","61",",,7","68",",,7","50",",,7","57",",,7,",,,,,,,,,,
"USC00231801","COLUMBIA U OF M, MO US","38.94243","-92.32044","234.7","2024-04-10","0.00",",,7,0700","52",",,7","53",",,7","0.0",",,7,0700","0.0",",,7,0700","59",",,7","58",",,7","64",",,7","51",",,7","59",",,7,",,,,,,,,,,
